Algorithm: FastMap
Target dimensions: 3
Pivots per dimension:
Dim 1: 2908 4567
Dim 2: 2040 4909
Dim 3: 4672 4180
Object coordinates:
715: 110.568898 91.802570 88.425036
716: 72.525754 76.719814 81.669772
717: 77.066975 170.326804 87.543048
718: 102.348805 72.569232 127.464523
719: 99.460995 66.565918 28.662634
720: 63.950197 108.172512 68.288809
721: 102.714372 157.562395 74.409143
722: 36.885316 84.738972 90.120993
723: 85.286842 106.029533 75.148927
724: 99.901396 94.309139 140.198621
725: 129.020690 114.741442 47.410357
726: 91.798886 57.074286 74.514985
727: 40.662451 100.471531 54.672460
728: 133.789855 55.695403 119.116542
729: 56.038706 134.952508 151.455770
730: 134.189126 99.369628 83.382686
731: 157.687039 97.614924 103.115736
732: 58.895779 60.600066 129.241563
733: 85.529425 110.084882 77.997419
734: 59.797503 123.018325 76.757138
735: 131.609112 100.662714 86.616986
736: 151.384697 96.664973 88.219730
737: 68.665598 81.667133 66.749472
738: 69.046024 99.227206 93.005097
739: 102.807467 106.722627 47.701837
740: 95.333803 61.333419 84.491622
741: 129.151089 144.335868 83.394241
742: 96.328955 55.454421 113.915240
743: 75.742494 65.200528 74.246036
744: 86.181869 67.383997 83.106676
745: 92.795343 86.359930 135.629230
746: 81.553242 85.751951 115.077430
747: 107.667400 123.595087 85.264898
748: 85.750251 139.362282 96.257163
749: 140.871857 103.623548 136.724968
750: 78.879686 46.202561 127.694883
