Algorithm: FastMap
Target dimensions: 2
Pivots per dimension:
Dim 1: 6115 4085
Dim 2: 8062 7500
Object coordinates:
1010: 123.441795 110.640638
1011: 104.058479 117.852319
1012: 74.821586 119.667155
1013: 110.603212 108.428144
1014: 69.187160 103.741724
1015: 50.105725 133.936624
1016: 37.934830 131.838406
1017: 74.942491 122.076845
1018: 140.191268 130.964338
1019: 85.434770 53.969054
1020: 91.333935 81.198546
1021: 95.654278 116.450304
1022: 120.377077 37.783619
1023: 107.526652 111.236069
1024: 107.250124 108.178930
1025: 77.483798 89.395752
1026: 92.983845 99.079308
1027: 113.757556 69.142271
1028: 86.805986 112.680302
1029: 109.703486 102.221234
1030: 128.361738 99.116622
1031: 125.200233 110.315711
1032: 84.143948 87.411237
1033: 106.999756 125.744299
1034: 151.415129 59.318678
1035: 81.188869 87.086556
1036: 98.606611 113.415522
1037: 128.364003 116.789393
1038: 86.470698 124.547786
1039: 76.002378 126.584762
1040: 118.957580 96.980935
1041: 116.838175 97.150113
1042: 101.714976 77.718126
